ID,Sex,Age,Ra1,RaLast,TrainingDifficulty,S1,M1,A1,N1,R1,TAD
306,M,20,-0.219868801,0.945981517,0,60,29,327,20,40,58
307,M,21,-0.135304283,0.478983605,1,64,34,381,15,48,67
308,M,20,0.69187454,0.762668185,,72,30,371,22,47,49
309,M,20,0.496607262,0.797725321,,49,26,299,18,43,38
310,M,21,0.809650503,0.87810803,,46,31,265,18,36,41
311,M,21,0.316868378,0.954429283,,53,22,357,13,44,52
312,M,19,0.928602882,0.960070879,,52,32,264,18,38,49
313,M,20,0.955003433,0.928521876,,56,31,399,15,42,69
314,M,20,-0.007674164,-0.064343607,,53,28,279,14,37,53
315,M,22,0.331283866,0.96771241,0,62,33,267,23,41,62
316,M,21,0.931735828,0.880250836,0,61,26,431,20,45,58
317,M,20,0.543660439,0.911054003,,63,29,491,18,47,68
318,F,20,0.902996091,0.894447421,,62,25,315,14,44,64
319,M,19,0.890464249,0.959400051,,55,29,338,13,45,58
320,M,20,0.648834805,0.96393823,,43,27,323,16,43,61
321,M,18,0.848330739,0.809337696,,61,21,338,23,46,46
322,F,20,0.467066121,0.377998324,0,68,24,567,19,47,70
323,M,21,0.168543451,0.834068806,,48,23,577,8,46,58
324,M,20,0.806083993,0.909485823,0,65,28,260,26,36,66
325,M,20,0.934540908,0.884035537,,38,15,248,11,33,32
326,M,23,0.562707175,0.783648955,0,49,32,560,19,48,61
327,M,21,0.429181599,0.375198999,1,55,30,534,21,46,63
328,M,22,0.807414782,0.611501522,,50,25,507,25,41,62
329,M,20,0.799945867,0.893219722,,39,27,241,15,39,31
330,M,18,0.797223011,0.777903147,,53,25,227,14,35,59
331,M,19,0.310403311,0.957349769,,40,29,-226,11,36,45
332,M,21,0.667155454,0.751921664,,47,22,221,24,48,56
333,M,19,0.348074463,0.860304682,,68,29,409,16,44,46
334,M,20,-0.115077417,0.036809335,,41,15,175,17,43,50
335,M,20,0.488038391,0.521473856,,63,31,468,14,45,51
336,M,20,0.626577533,0.899767125,,42,30,236,15,36,55
337,M,19,0.526884109,0.272905301,,51,29,268,14,36,49
338,M,19,-0.377093557,-0.403059512,,39,23,203,15,32,40
339,M,19,0.818608832,0.818318991,,55,19,335,19,42,62
340,M,20,0.921584641,0.799876997,,49,27,233,18,32,52
341,F,19,-0.138670345,0.315676591,,51,21,264,9,37,48
342,M,21,-0.421031389,0.086797644,,66,30,353,17,37,65
343,M,19,0.120764866,0.200109569,,47,31,290,16,37,50
344,M,22,0.315056279,0.817009696,,58,22,379,11,45,67
345,M,19,-0.292350929,-0.103092667,,34,32,163,12,35,31
346,M,20,0.221342856,0.383802647,,45,24,272,10,33,45
347,M,21,0.394568545,0.733944855,0,53,30,459,25,45,66
348,M,21,0.426506529,0.565512495,,53,32,274,17,36,54
349,M,20,0.807050881,0.872446099,,55,19,245,18,43,52
350,M,22,0.453010693,0.775081492,,54,20,543,14,46,64
351,F,21,-0.24536988,0.341902269,,60,26,297,13,45,29
352,M,19,0.699078729,0.619354132,,52,21,372,9,39,45
353,M,22,0.79369234,0.811332435,,69,28,453,25,44,69
354,M,21,0.845988249,0.879208648,,42,19,289,11,30,48
355,M,20,-0.25733583,0.508943122,,54,25,536,14,48,52
356,M,19,-0.398534295,-0.29390535,,39,22,257,14,38,62
357,M,21,0.215860484,0.806807839,,74,29,298,22,43,75
358,M,20,0.285516435,0.79059245,,53,28,264,19,43,54
359,M,20,0.75988743,0.951399422,,63,22,347,15,41,56
360,M,19,0.81109416,0.818579368,,46,26,295,12,42,56
361,M,21,0.172819251,0.954813961,,36,31,207,9,40,64
362,M,20,0.953219139,0.968052291,,68,33,441,21,47,74
363,M,20,0.645372445,0.705658973,,59,26,267,18,40,60
364,M,20,-0.226079671,0.300890706,,49,26,363,12,32,50
365,M,19,0.726852641,0.832120004,,40,26,-74,14,32,52
366,M,20,0.230461608,0.668779173,,57,32,435,23,47,59
367,M,20,0.374582652,0.746893935,,46,25,207,14,37,55
368,M,21,0.818493276,0.845360207,,58,25,220,10,31,57
369,M,19,-0.445950772,0.087619789,,52,26,339,18,44,54
370,M,21,0.530477131,0.878184632,,44,29,346,12,45,56
371,M,20,0.397615605,0.873122646,,48,25,343,13,46,54
372,M,20,-0.019552634,0.955711468,,55,28,301,14,33,46
373,M,21,0.53469628,0.323510191,,66,27,263,11,40,50
374,M,20,0.808375694,0.749825086,,62,23,389,18,41,57
375,M,19,-0.123460645,0.354398171,,58,31,271,14,41,28
376,M,20,0.796108462,0.447166875,,49,27,253,10,33,55
377,M,21,0.788668055,0.927996265,,59,30,225,15,40,49
378,M,21,0.903419588,0.928266856,,57,26,289,21,44,64
379,M,20,-0.039474792,0.311638691,,51,25,336,23,46,46
380,M,19,0.187714513,-0.128666227,,54,26,288,20,44,50
381,M,19,0.506677186,0.927813628,,47,28,189,15,36,41
382,M,21,0.812529927,0.961306817,0,68,30,571,21,47,68
383,M,20,0.734460665,0.641122376,,74,28,309,25,45,54
384,M,23,-0.084647469,0.966639877,,66,29,386,22,48,74
385,M,21,0.805883956,0.94673188,,59,22,219,9,31,50
386,M,21,0.395360069,0.949314958,,53,30,277,19,45,71
387,M,21,-0.437281922,0.453740603,,49,22,417,19,44,63
388,M,23,-0.073223123,-0.053232049,,42,23,279,15,36,63
389,M,20,0.64915964,0.753207345,,54,27,252,12,39,44
390,M,22,0.198036246,0.676326624,,31,22,274,8,30,54
391,M,22,-0.153199005,-0.600078087,,46,24,230,18,31,35
392,M,19,0.807913425,0.846345904,,45,23,196,19,42,49
393,M,19,0.735447229,0.922617831,,39,30,268,15,38,46
394,M,18,-0.032359291,0.750271904,,42,23,207,14,38,52
395,M,19,0.936746422,0.941071908,0,50,33,188,12,38,72
396,M,19,-0.100141753,0.957287495,,43,19,198,16,35,48
397,M,20,0.942202943,0.964307092,,63,24,290,14,41,67
398,M,19,0.805402489,0.879403149,,53,22,234,21,48,54
399,F,19,0.888454811,0.955314135,,60,28,278,14,41,57
400,M,20,0.269708419,0.265228788,,35,25,215,13,32,54
401,M,19,0.015925473,0.890528205,,44,24,238,10,27,38
402,M,20,0.869056688,0.844649165,,50,23,432,22,42,55
403,M,19,-0.349097963,-0.457487802,,53,24,434,23,48,50
404,M,18,0.561753781,0.044053749,,51,28,228,16,36,47
405,M,22,0.243999163,0.572887454,,40,23,237,6,20,48
406,M,21,0.579264051,0.967033275,,58,28,371,22,48,62
407,M,19,-0.242382456,0.696961212,,51,27,375,14,33,61
408,M,20,0.139566635,0.733932261,0,69,32,476,24,46,69
409,M,21,0.875757868,0.868126708,,43,26,405,15,43,54
410,M,19,0.274936591,0.960949608,,67,31,401,25,47,63
411,M,21,0.601403041,0.819244017,,44,25,280,11,31,38
412,M,19,0.84343655,0.780190455,,43,27,237,18,44,62
413,M,21,0.75911087,0.96947944,,69,33,475,15,46,59
414,M,19,0.207078336,0.791813578,,38,28,236,18,35,44
415,M,18,-0.143981375,0.093692027,,50,28,278,15,39,48
416,M,20,-0.173403346,0.969291604,,63,25,222,21,47,70
417,M,21,0.277249599,0.964309161,,49,25,295,12,44,44
418,M,20,0.862472974,0.876557028,,55,23,358,17,38,56
419,M,21,-0.319947112,-0.132822931,,51,29,265,14,35,56
420,M,19,0.876041259,0.94740354,,39,30,172,17,31,42
421,F,21,0.437126481,0.967214454,,47,23,396,29,47,58
422,M,21,0.730200039,0.746050253,,61,29,481,19,43,58
423,M,20,0.496971428,0.779665469,,54,29,263,10,38,63
424,M,20,0.619223918,0.873676652,,57,32,281,24,45,58
425,M,21,0.679872675,0.741363436,,51,25,355,14,36,52
426,M,22,-0.419625098,0.02881934,,44,24,257,12,22,51
427,M,21,-0.490673864,0.792544376,,53,28,208,23,38,42
428,F,18,0.714372505,0.95092206,,49,16,372,11,45,41
429,M,18,-0.068377972,0.159568815,,47,29,247,9,35,48
430,M,21,0.431232954,0.716122448,1,56,30,455,17,43,75
431,M,21,0.007246382,0.023039105,,36,21,294,16,37,58
432,M,22,0.758815978,0.968649181,,72,29,382,22,45,55
433,M,20,-0.475064837,0.968867669,,48,30,209,16,38,40
434,M,20,0.789870993,0.969094418,,39,28,222,19,44,52
435,M,20,0.628623031,0.964927051,,60,26,269,12,38,49
436,M,22,0.805899776,0.937418325,,40,27,516,12,43,62
437,M,20,0.77178307,0.702823014,,65,34,226,18,36,63
438,F,20,-0.500210195,-0.22662902,,43,25,255,11,39,25
439,M,18,0.937624417,0.964569924,,60,24,361,21,39,53
440,M,19,-0.273357139,0.354728182,,38,28,202,11,38,54
