"subject"	"ppn"	"age"	"sex"	"hyp"	"cdt"	"man"	"iat"	"tskor"	"exo"	"rdtm"	"mnch"	"Npls"	"Nwon"	"Ngoo"	"Ncor"	"Lpls"	"Lwon"	"Lgoo"	"Lcor"	"mnch2"	"blv"	"hypn"	"x"	"bl1"	"bl2"	"Lgbl"	"Ngbl"	"comp"	"incomp"	"c"	"startblock"	"D4"	"D4_odd"	"D4_even"
"43"	43	43	20	"v"	1	2	1	1	1	2	321964	1	1	2	2	2	7	6	7	6	2	6	6	NA	1.33966348519374	1.53480554931395	1.33966348519374	1.53480554931395	1.53480554931395	1.33966348519374	0.195142064120214	"1"	-0.4902	-0.6472	-0.3666
"44"	44	44	20	"v"	2	1	1	1	1	2	378106	2	6	6	6	5	3	4	3	4	1	8	-1	NA	1.3575210351862	1.28237418268299	1.3575210351862	1.28237418268299	1.3575210351862	1.28237418268299	0.0751468525032082	"1"	0.1355	0.2441	-0.0082
"45"	45	45	28	"v"	1	1	0	1	2	2	298190	2	0	0	0	0	8	6	7	8	2	2	5	NA	1.68702406953455	1.32577184496752	1.68702406953455	1.32577184496752	1.68702406953455	1.32577184496752	0.361252224567025	"1"	0.7538	0.822	0.824
"46"	46	46	23	"v"	2	2	0	1	2	2	217418	1	7	7	7	7	0	0	0	0	1	6	-1	NA	1.52817341442617	1.62450634129028	1.52817341442617	1.62450634129028	1.62450634129028	1.52817341442617	0.0963329268641162	"1"	-0.3441	-0.6963	0.2562
"47"	47	47	23	"v"	1	2	0	1	1	2	252166	1	7	5	6	7	1	0	1	1	1	6	4	NA	1.47590623816843	1.73187219641935	1.47590623816843	1.73187219641935	1.73187219641935	1.47590623816843	0.255965958250917	"1"	-0.6213	-0.7268	-0.4201
"48"	48	48	21	"v"	2	1	0	1	1	2	175478	2	2	2	2	2	7	5	6	6	2	5	-1	NA	1.46817707468945	1.34443373486358	1.46817707468945	1.34443373486358	1.46817707468945	1.34443373486358	0.123743339825868	"1"	0.1055	-0.2487	0.6553
"49"	49	49	21	"v"	1	1	1	2	1	2	275119	2	6	4	4	6	2	2	2	6	1	5	4	NA	1.26733321186291	1.33459666698382	1.33459666698382	1.26733321186291	1.33459666698382	1.26733321186291	0.0672634551209077	"2"	-0.0268	-0.0444	-0.0103
"50"	50	50	36	"v"	2	2	1	2	1	2	291177	1	2	4	2	6	6	5	5	0	2	5	-1	NA	1.6989568945491	1.69967937512409	1.69967937512409	1.6989568945491	1.6989568945491	1.69967937512409	-0.000722480574988582	"2"	-0.5378	-0.9585	-0.1919
"51"	51	51	19	"v"	1	2	1	2	2	2	332592	1	1	0	2	0	7	7	8	6	2	8	7	NA	1.74412960410925	1.7973290139812	1.7973290139812	1.74412960410925	1.74412960410925	1.7973290139812	-0.0531994098719488	"2"	-0.6128	-0.2543	-1.1254
"52"	52	52	20	"v"	2	1	1	2	2	2	282351	2	4	4	4	4	2	3	3	3	1	2	-1	NA	1.07216081464303	1.48507087249081	1.48507087249081	1.07216081464303	1.48507087249081	1.07216081464303	0.412910057847776	"2"	-0.9996	-1.2582	-0.7401
"53"	53	53	22	"v"	1	1	0	2	1	2	317901	2	2	2	2	2	7	6	6	7	2	5	6	NA	1.59161826345753	1.76513415541178	1.76513415541178	1.59161826345753	1.76513415541178	1.59161826345753	0.173515891954254	"2"	-0.419	-0.7137	-0.0694
"54"	54	54	18	"m"	2	2	0	2	1	2	257084	1	7	6	7	7	2	1	1	0	1	7	-1	NA	1.42123534969964	1.22083016511344	1.22083016511344	1.42123534969964	1.42123534969964	1.22083016511344	0.200405184586203	"2"	0.3901	0.717	0.0868
"55"	55	55	20	"m"	1	2	0	2	2	2	318480	1	8	8	7	7	1	1	1	3	1	5	5	NA	1.25052931577673	1.23328703905749	1.23328703905749	1.25052931577673	1.25052931577673	1.23328703905749	0.0172422767192337	"2"	0.2653	0.6934	-0.1179
"56"	56	56	20	"v"	2	1	0	2	2	2	247203	2	0	0	0	0	0	7	8	8	2	6	-1	NA	1.65559775600827	1.65014071220793	1.65014071220793	1.65559775600827	1.65014071220793	1.65559775600827	-0.00545704380033629	"2"	0.5501	0.8307	0.3624
"57"	57	57	19	"v"	1	1	1	2	2	2	213673	2	5	5	6	4	2	2	2	2	1	3	6	NA	1.91678123102485	1.71067654671054	1.71067654671054	1.91678123102485	1.71067654671054	1.91678123102485	-0.206104684314319	"2"	0.6616	0.6211	0.7309
"58"	58	58	20	"m"	2	2	1	2	2	2	183829	1	1	1	2	3	6	6	7	6	2	7	-1	NA	1.53019751786513	1.60717622972347	1.60717622972347	1.53019751786513	1.53019751786513	1.60717622972347	-0.0769787118583363	"2"	-0.3229	-0.075	-0.533
"59"	59	59	19	"v"	1	2	1	2	1	2	183101	1	4	3	4	3	3	4	4	5	2	5	6	NA	1.53750167639714	1.42568264096842	1.42568264096842	1.53750167639714	1.53750167639714	1.42568264096842	0.111819035428725	"2"	0.6428	0.4839	0.74
"60"	60	60	19	"m"	2	1	1	2	1	2	269027	2	5	4	5	4	2	3	3	3	1	6	-1	NA	1.00109791918182	1.39580942117261	1.39580942117261	1.00109791918182	1.39580942117261	1.00109791918182	0.394711501990783	"2"	-0.6184	-0.8602	-0.3954
