cond_all,cond_text,pair_ID,cooperation_rate,role,WK1,WK2,WK3,WK4,WK5,WK6,WK7,WK8,WK9,WK10,WK11,WK12,WK13,WK14,WK15,WK16,WK17,WK18,WK19,WK20,likabe,get_along,close,friends,tasty,age,gender,gender,mean_close
1,shared,39,0.6,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,1,1,0,0,1,5,5,4,5,2,25,1,male,4.75
1,shared,40,0.95,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,4,5,6,18,1,male,4.75
1,shared,41,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,5,2,3,4,19,1,male,3.5
1,shared,42,0.5,1,1,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,2,2,1,3,5,19,1,male,2
1,shared,43,0.55,1,1,1,0,0,0,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,2,3,1,2,4,21,1,male,2
1,shared,44,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,1,20,2,female,6
1,shared,45,0.95,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,5,4,4,6,14,2,female,4.75
1,shared,46,0.45,1,0,1,1,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1, , , , , , , , , 
1,shared,47,0.35,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,0,0,1,1,6,5,2,3,6,21,2,female,4
1,shared,48,0.1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,3,5,6,19,2,female,5
1,shared,49,0.65,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,5,5,4,3,3,20,2,female,4.25
1,shared,50,0.3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,5,4,3,3,6,20,2,female,3.75
1,shared,51,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,5,22,1,male,6
1,shared,52,0.95,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,6,5,5,5,6,22,1,male,5.25
